ShipmentID,DepartureDate,DepartureHour,TimeBlock_3HR,DayOfWeek,LaneID,CustomerID,ServiceID,Weight_KG,DelayMinutes,Volume
SHP-100031,22/03/2026,6,6am - 9am,Sunday,LANE-102,CUST-004,SRV-02,6902,12,1
SHP-100032,03/03/2026,5,3am - 6am,Tuesday,LANE-104,CUST-001,SRV-01,20983,0,1
SHP-100033,21/03/2026,18,6pm - 9pm,Saturday,LANE-105,CUST-003,SRV-02,12192,11,1
SHP-100034,10/03/2026,19,6pm - 9pm,Tuesday,LANE-107,CUST-006,SRV-03,9474,22,1
SHP-100035,14/03/2026,17,3pm - 6pm,Saturday,LANE-107,CUST-005,SRV-01,17063,10,1
SHP-100036,08/03/2026,7,6am - 9am,Sunday,LANE-102,CUST-005,SRV-03,9655,31,1
SHP-100037,10/03/2026,5,3am - 6am,Tuesday,LANE-106,CUST-001,SRV-01,11327,0,1
SHP-100038,02/03/2026,15,3pm - 6pm,Monday,LANE-104,CUST-001,SRV-02,22958,7,1
SHP-100039,28/03/2026,9,9am - 12pm,Saturday,LANE-104,CUST-005,SRV-01,13828,4,1
SHP-100040,13/03/2026,6,6am - 9am,Friday,LANE-106,CUST-004,SRV-02,2308,3,1
SHP-100041,05/03/2026,11,9am - 12pm,Thursday,LANE-101,CUST-002,SRV-03,6393,4,1
SHP-100042,11/03/2026,3,3am - 6am,Wednesday,LANE-107,CUST-003,SRV-03,19110,0,1
SHP-100043,24/03/2026,18,6pm - 9pm,Tuesday,LANE-103,CUST-002,SRV-01,4511,1,1
SHP-100044,01/03/2026,7,6am - 9am,Sunday,LANE-102,CUST-002,SRV-04,4982,14,1
SHP-100045,26/03/2026,15,3pm - 6pm,Thursday,LANE-102,CUST-002,SRV-02,14835,1,1
SHP-100046,10/03/2026,7,6am - 9am,Tuesday,LANE-105,CUST-005,SRV-01,16423,27,1
SHP-100047,30/03/2026,11,9am - 12pm,Monday,LANE-104,CUST-002,SRV-03,20629,13,1
SHP-100048,27/03/2026,12,12pm - 3pm,Friday,LANE-105,CUST-004,SRV-02,24294,12,1
SHP-100049,29/03/2026,6,6am - 9am,Sunday,LANE-102,CUST-004,SRV-02,16760,10,1
SHP-100050,28/03/2026,19,6pm - 9pm,Saturday,LANE-101,CUST-004,SRV-03,22073,29,1
SHP-100051,13/03/2026,16,3pm - 6pm,Friday,LANE-105,CUST-001,SRV-01,14594,5,1
SHP-100052,28/03/2026,18,6pm - 9pm,Saturday,LANE-102,CUST-003,SRV-02,24881,3,1
SHP-100053,04/03/2026,18,6pm - 9pm,Wednesday,LANE-101,CUST-004,SRV-04,9608,13,1
SHP-100054,21/03/2026,13,12pm - 3pm,Saturday,LANE-101,CUST-002,SRV-02,23347,7,1
SHP-100055,30/03/2026,18,6pm - 9pm,Monday,LANE-101,CUST-001,SRV-02,3939,27,1
SHP-100056,10/03/2026,5,3am - 6am,Tuesday,LANE-103,CUST-005,SRV-01,7957,0,1
SHP-100057,12/03/2026,6,6am - 9am,Thursday,LANE-102,CUST-004,SRV-01,11771,12,1
SHP-100058,14/03/2026,4,3am - 6am,Saturday,LANE-106,CUST-002,SRV-02,5079,22,1
SHP-100059,27/03/2026,7,6am - 9am,Friday,LANE-104,CUST-002,SRV-03,8312,3,1
SHP-100060,03/03/2026,8,6am - 9am,Tuesday,LANE-105,CUST-006,SRV-03,16205,20,1
SHP-100061,28/03/2026,7,6am - 9am,Saturday,LANE-103,CUST-005,SRV-03,8380,10,1
SHP-100062,02/03/2026,17,3pm - 6pm,Monday,LANE-104,CUST-001,SRV-01,22280,30,1
SHP-100063,28/03/2026,8,6am - 9am,Saturday,LANE-103,CUST-002,SRV-02,8522,7,1
SHP-100064,19/03/2026,7,6am - 9am,Thursday,LANE-101,CUST-003,SRV-02,22351,3,1
SHP-100065,31/03/2026,12,12pm - 3pm,Tuesday,LANE-101,CUST-004,SRV-02,19514,16,1
SHP-100066,11/03/2026,6,6am - 9am,Wednesday,LANE-104,CUST-001,SRV-04,4053,4,1
SHP-100067,21/03/2026,17,3pm - 6pm,Saturday,LANE-101,CUST-004,SRV-03,1227,2,1
SHP-100068,07/03/2026,5,3am - 6am,Saturday,LANE-101,CUST-004,SRV-04,2218,14,1
SHP-100069,18/03/2026,21,9pm - 12am,Wednesday,LANE-103,CUST-005,SRV-03,23438,20,1
SHP-100070,29/03/2026,16,3pm - 6pm,Sunday,LANE-105,CUST-003,SRV-03,19626,34,1
SHP-100071,31/03/2026,6,6am - 9am,Tuesday,LANE-105,CUST-003,SRV-02,18440,4,1
SHP-100072,14/03/2026,0,12am - 3am,Saturday,LANE-106,CUST-005,SRV-01,10133,7,1
SHP-100073,07/03/2026,17,3pm - 6pm,Saturday,LANE-101,CUST-004,SRV-02,17599,2,1
SHP-100074,22/03/2026,16,3pm - 6pm,Sunday,LANE-107,CUST-003,SRV-02,21380,33,1
SHP-100075,30/03/2026,16,3pm - 6pm,Monday,LANE-105,CUST-004,SRV-02,21753,20,1
SHP-100076,07/03/2026,16,3pm - 6pm,Saturday,LANE-101,CUST-001,SRV-01,3956,9,1
SHP-100077,23/03/2026,5,3am - 6am,Monday,LANE-106,CUST-005,SRV-01,2410,29,1
SHP-100078,09/03/2026,8,6am - 9am,Monday,LANE-103,CUST-005,SRV-01,9852,20,1
SHP-100079,23/03/2026,6,6am - 9am,Monday,LANE-101,CUST-003,SRV-02,9245,0,1
SHP-100080,30/03/2026,17,3pm - 6pm,Monday,LANE-101,CUST-006,SRV-04,13897,18,1
SHP-100081,12/03/2026,14,12pm - 3pm,Thursday,LANE-103,CUST-006,SRV-04,16537,1,1
SHP-100082,29/03/2026,8,6am - 9am,Sunday,LANE-103,CUST-001,SRV-03,6644,4,1
SHP-100083,06/03/2026,5,3am - 6am,Friday,LANE-107,CUST-004,SRV-04,24515,1,1
SHP-100084,26/03/2026,7,6am - 9am,Thursday,LANE-101,CUST-003,SRV-01,14909,0,1
SHP-100085,24/03/2026,7,6am - 9am,Tuesday,LANE-103,CUST-004,SRV-01,9296,11,1
SHP-100086,07/03/2026,16,3pm - 6pm,Saturday,LANE-101,CUST-001,SRV-01,9057,36,1
SHP-100087,22/03/2026,14,12pm - 3pm,Sunday,LANE-104,CUST-002,SRV-02,16449,0,1
SHP-100088,04/03/2026,17,3pm - 6pm,Wednesday,LANE-107,CUST-003,SRV-03,24171,16,1
SHP-100089,16/03/2026,9,9am - 12pm,Monday,LANE-104,CUST-006,SRV-04,23457,3,1
SHP-100090,07/03/2026,6,6am - 9am,Saturday,LANE-103,CUST-006,SRV-03,10368,1,1
SHP-100091,28/03/2026,16,3pm - 6pm,Saturday,LANE-105,CUST-003,SRV-03,24629,30,1
SHP-100092,08/03/2026,16,3pm - 6pm,Sunday,LANE-101,CUST-005,SRV-01,24455,0,1
SHP-100093,08/03/2026,12,12pm - 3pm,Sunday,LANE-107,CUST-002,SRV-01,21482,1,1
SHP-100094,28/03/2026,16,3pm - 6pm,Saturday,LANE-104,CUST-006,SRV-02,22581,3,1
SHP-100095,28/03/2026,10,9am - 12pm,Saturday,LANE-104,CUST-006,SRV-01,22021,32,1
SHP-100096,20/03/2026,11,9am - 12pm,Friday,LANE-106,CUST-006,SRV-01,21816,4,1
SHP-100097,26/03/2026,9,9am - 12pm,Thursday,LANE-104,CUST-006,SRV-02,1933,0,1
SHP-100098,25/03/2026,2,12am - 3am,Wednesday,LANE-104,CUST-003,SRV-02,6967,2,1
SHP-100099,03/03/2026,6,6am - 9am,Tuesday,LANE-105,CUST-004,SRV-03,1900,7,1
SHP-100100,09/03/2026,3,3am - 6am,Monday,LANE-101,CUST-001,SRV-03,11247,25,1
SHP-100101,19/03/2026,14,12pm - 3pm,Thursday,LANE-102,CUST-002,SRV-02,9463,3,1
SHP-100102,13/03/2026,7,6am - 9am,Friday,LANE-107,CUST-005,SRV-04,4000,8,1
SHP-100103,07/03/2026,11,9am - 12pm,Saturday,LANE-102,CUST-005,SRV-03,10737,4,1
SHP-100104,20/03/2026,18,6pm - 9pm,Friday,LANE-103,CUST-004,SRV-02,22060,10,1
SHP-100105,21/03/2026,7,6am - 9am,Saturday,LANE-101,CUST-001,SRV-01,24958,1,1
SHP-100106,29/03/2026,8,6am - 9am,Sunday,LANE-102,CUST-005,SRV-01,18684,8,1
SHP-100107,15/03/2026,16,3pm - 6pm,Sunday,LANE-105,CUST-005,SRV-02,5696,0,1
SHP-100108,19/03/2026,7,6am - 9am,Thursday,LANE-104,CUST-001,SRV-01,619,46,1
SHP-100109,02/03/2026,5,3am - 6am,Monday,LANE-103,CUST-002,SRV-02,24625,29,1
SHP-100110,12/03/2026,7,6am - 9am,Thursday,LANE-107,CUST-003,SRV-02,9629,12,1
SHP-100111,08/03/2026,6,6am - 9am,Sunday,LANE-105,CUST-003,SRV-01,12008,30,1
SHP-100112,30/03/2026,18,6pm - 9pm,Monday,LANE-102,CUST-001,SRV-03,20867,10,1
SHP-100113,23/03/2026,17,3pm - 6pm,Monday,LANE-103,CUST-001,SRV-01,14533,4,1
SHP-100114,23/03/2026,14,12pm - 3pm,Monday,LANE-106,CUST-006,SRV-02,22040,1,1
SHP-100115,08/03/2026,17,3pm - 6pm,Sunday,LANE-101,CUST-001,SRV-01,20240,60,1
SHP-100116,13/03/2026,17,3pm - 6pm,Friday,LANE-104,CUST-004,SRV-01,7315,3,1
SHP-100117,01/03/2026,6,6am - 9am,Sunday,LANE-101,CUST-004,SRV-02,9200,24,1
SHP-100118,28/03/2026,18,6pm - 9pm,Saturday,LANE-101,CUST-001,SRV-03,8014,6,1
SHP-100119,24/03/2026,12,12pm - 3pm,Tuesday,LANE-107,CUST-004,SRV-02,15169,4,1
SHP-100120,10/03/2026,17,3pm - 6pm,Tuesday,LANE-106,CUST-003,SRV-01,15100,3,1
SHP-100121,28/03/2026,18,6pm - 9pm,Saturday,LANE-101,CUST-001,SRV-02,19198,23,1
SHP-100122,30/03/2026,7,6am - 9am,Monday,LANE-106,CUST-003,SRV-01,3724,22,1
SHP-100123,30/03/2026,6,6am - 9am,Monday,LANE-101,CUST-003,SRV-03,9925,24,1
SHP-100124,21/03/2026,7,6am - 9am,Saturday,LANE-103,CUST-004,SRV-02,11099,15,1
SHP-100125,24/03/2026,9,9am - 12pm,Tuesday,LANE-105,CUST-005,SRV-03,1786,0,1
SHP-100126,09/03/2026,17,3pm - 6pm,Monday,LANE-103,CUST-005,SRV-01,1172,5,1
SHP-100127,29/03/2026,17,3pm - 6pm,Sunday,LANE-106,CUST-002,SRV-02,7406,20,1
SHP-100128,02/03/2026,0,12am - 3am,Monday,LANE-104,CUST-002,SRV-04,16080,43,1
SHP-100129,19/03/2026,11,9am - 12pm,Thursday,LANE-103,CUST-005,SRV-01,11767,23,1
SHP-100130,22/03/2026,8,6am - 9am,Sunday,LANE-107,CUST-001,SRV-02,16452,13,1
SHP-100131,25/03/2026,7,6am - 9am,Wednesday,LANE-101,CUST-005,SRV-02,7135,20,1
SHP-100132,14/03/2026,6,6am - 9am,Saturday,LANE-103,CUST-006,SRV-02,23556,5,1
SHP-100133,10/03/2026,8,6am - 9am,Tuesday,LANE-104,CUST-004,SRV-01,16655,13,1
SHP-100134,10/03/2026,18,6pm - 9pm,Tuesday,LANE-106,CUST-005,SRV-01,18264,17,1
SHP-100135,08/03/2026,7,6am - 9am,Sunday,LANE-103,CUST-001,SRV-01,8565,8,1
SHP-100136,14/03/2026,11,9am - 12pm,Saturday,LANE-106,CUST-001,SRV-01,17597,3,1
SHP-100137,13/03/2026,16,3pm - 6pm,Friday,LANE-103,CUST-002,SRV-03,23122,31,1
SHP-100138,06/03/2026,8,6am - 9am,Friday,LANE-102,CUST-002,SRV-03,6424,19,1
SHP-100139,21/03/2026,20,6pm - 9pm,Saturday,LANE-107,CUST-001,SRV-04,4806,3,1
SHP-100140,30/03/2026,19,6pm - 9pm,Monday,LANE-104,CUST-003,SRV-03,24444,1,1
SHP-100141,13/03/2026,7,6am - 9am,Friday,LANE-103,CUST-006,SRV-01,15838,16,1
SHP-100142,03/03/2026,11,9am - 12pm,Tuesday,LANE-106,CUST-002,SRV-04,10729,12,1
SHP-100143,28/03/2026,7,6am - 9am,Saturday,LANE-104,CUST-006,SRV-03,20455,10,1
SHP-100144,20/03/2026,7,6am - 9am,Friday,LANE-104,CUST-004,SRV-02,12077,38,1
SHP-100145,29/03/2026,3,3am - 6am,Sunday,LANE-105,CUST-003,SRV-02,7143,4,1
SHP-100146,13/03/2026,14,12pm - 3pm,Friday,LANE-105,CUST-004,SRV-03,9188,1,1
SHP-100147,23/03/2026,11,9am - 12pm,Monday,LANE-103,CUST-004,SRV-04,24525,2,1
SHP-100148,23/03/2026,4,3am - 6am,Monday,LANE-103,CUST-006,SRV-03,7522,15,1
SHP-100149,19/03/2026,7,6am - 9am,Thursday,LANE-107,CUST-001,SRV-01,10199,29,1
SHP-100150,16/03/2026,18,6pm - 9pm,Monday,LANE-103,CUST-003,SRV-01,5333,13,1
SHP-100151,04/03/2026,7,6am - 9am,Wednesday,LANE-101,CUST-002,SRV-01,24133,1,1
SHP-100152,03/03/2026,6,6am - 9am,Tuesday,LANE-103,CUST-001,SRV-03,3826,14,1
SHP-100153,15/03/2026,10,9am - 12pm,Sunday,LANE-101,CUST-005,SRV-01,1150,4,1
SHP-100154,15/03/2026,21,9pm - 12am,Sunday,LANE-105,CUST-002,SRV-03,7424,6,1
SHP-100155,18/03/2026,7,6am - 9am,Wednesday,LANE-101,CUST-005,SRV-01,23061,12,1
SHP-100156,22/03/2026,15,3pm - 6pm,Sunday,LANE-101,CUST-001,SRV-02,4804,6,1
SHP-100157,07/03/2026,16,3pm - 6pm,Saturday,LANE-107,CUST-004,SRV-01,14598,39,1
SHP-100158,20/03/2026,7,6am - 9am,Friday,LANE-105,CUST-004,SRV-01,9267,18,1
SHP-100159,05/03/2026,16,3pm - 6pm,Thursday,LANE-103,CUST-003,SRV-01,19827,9,1
SHP-100160,08/03/2026,8,6am - 9am,Sunday,LANE-101,CUST-002,SRV-03,23441,6,1
SHP-100161,25/03/2026,14,12pm - 3pm,Wednesday,LANE-106,CUST-005,SRV-04,6128,4,1
SHP-100162,23/03/2026,14,12pm - 3pm,Monday,LANE-107,CUST-005,SRV-01,19440,4,1
SHP-100163,10/03/2026,12,12pm - 3pm,Tuesday,LANE-103,CUST-003,SRV-02,22062,12,1
SHP-100164,30/03/2026,5,3am - 6am,Monday,LANE-104,CUST-006,SRV-01,19567,21,1
SHP-100165,01/03/2026,17,3pm - 6pm,Sunday,LANE-101,CUST-006,SRV-03,21646,2,1
SHP-100166,11/03/2026,7,6am - 9am,Wednesday,LANE-104,CUST-002,SRV-03,12734,31,1
SHP-100167,30/03/2026,6,6am - 9am,Monday,LANE-103,CUST-004,SRV-03,661,4,1
SHP-100168,03/03/2026,4,3am - 6am,Tuesday,LANE-106,CUST-006,SRV-01,17944,14,1
SHP-100169,27/03/2026,13,12pm - 3pm,Friday,LANE-102,CUST-001,SRV-01,15875,17,1
SHP-100170,21/03/2026,15,3pm - 6pm,Saturday,LANE-104,CUST-003,SRV-01,22615,20,1
SHP-100171,03/03/2026,1,12am - 3am,Tuesday,LANE-101,CUST-001,SRV-01,8646,5,1
SHP-100172,15/03/2026,11,9am - 12pm,Sunday,LANE-101,CUST-001,SRV-01,11944,6,1
SHP-100173,17/03/2026,7,6am - 9am,Tuesday,LANE-101,CUST-003,SRV-04,16182,13,1
SHP-100174,18/03/2026,14,12pm - 3pm,Wednesday,LANE-103,CUST-005,SRV-04,7925,36,1
SHP-100175,08/03/2026,6,6am - 9am,Sunday,LANE-101,CUST-002,SRV-01,3297,31,1
SHP-100176,23/03/2026,15,3pm - 6pm,Monday,LANE-107,CUST-005,SRV-02,12510,16,1
SHP-100177,13/03/2026,8,6am - 9am,Friday,LANE-105,CUST-004,SRV-04,21016,2,1
SHP-100178,10/03/2026,18,6pm - 9pm,Tuesday,LANE-104,CUST-002,SRV-01,2303,13,1
SHP-100179,03/03/2026,6,6am - 9am,Tuesday,LANE-106,CUST-003,SRV-02,19333,20,1
SHP-100180,20/03/2026,8,6am - 9am,Friday,LANE-102,CUST-003,SRV-01,19315,51,1
SHP-100181,14/03/2026,6,6am - 9am,Saturday,LANE-106,CUST-003,SRV-01,21948,9,1
SHP-100182,13/03/2026,18,6pm - 9pm,Friday,LANE-107,CUST-001,SRV-01,22180,10,1
SHP-100183,03/03/2026,17,3pm - 6pm,Tuesday,LANE-102,CUST-003,SRV-02,10147,49,1
SHP-100184,13/03/2026,7,6am - 9am,Friday,LANE-107,CUST-004,SRV-03,5552,22,1
SHP-100185,20/03/2026,15,3pm - 6pm,Friday,LANE-102,CUST-004,SRV-01,6033,0,1
SHP-100186,24/03/2026,17,3pm - 6pm,Tuesday,LANE-101,CUST-003,SRV-02,3943,39,1
SHP-100187,25/03/2026,12,12pm - 3pm,Wednesday,LANE-102,CUST-002,SRV-01,2854,3,1
SHP-100188,23/03/2026,12,12pm - 3pm,Monday,LANE-107,CUST-004,SRV-03,5100,22,1
SHP-100189,09/03/2026,7,6am - 9am,Monday,LANE-104,CUST-002,SRV-02,3140,5,1
SHP-100190,30/03/2026,5,3am - 6am,Monday,LANE-104,CUST-002,SRV-01,22000,1,1
SHP-100191,25/03/2026,18,6pm - 9pm,Wednesday,LANE-101,CUST-002,SRV-01,5634,23,1
SHP-100192,16/03/2026,18,6pm - 9pm,Monday,LANE-101,CUST-003,SRV-02,3613,0,1
SHP-100193,23/03/2026,14,12pm - 3pm,Monday,LANE-106,CUST-006,SRV-01,23875,10,1
SHP-100194,23/03/2026,8,6am - 9am,Monday,LANE-103,CUST-001,SRV-03,8244,3,1
SHP-100195,08/03/2026,8,6am - 9am,Sunday,LANE-101,CUST-003,SRV-03,6915,2,1
SHP-100196,12/03/2026,16,3pm - 6pm,Thursday,LANE-102,CUST-004,SRV-01,14423,9,1
SHP-100197,26/03/2026,18,6pm - 9pm,Thursday,LANE-101,CUST-004,SRV-03,23197,29,1
SHP-100198,28/03/2026,17,3pm - 6pm,Saturday,LANE-104,CUST-004,SRV-02,22580,40,1
SHP-100199,12/03/2026,16,3pm - 6pm,Thursday,LANE-105,CUST-004,SRV-03,15974,1,1
SHP-100200,19/03/2026,14,12pm - 3pm,Thursday,LANE-103,CUST-006,SRV-02,1524,16,1
SHP-100201,24/03/2026,5,3am - 6am,Tuesday,LANE-101,CUST-001,SRV-04,5669,13,1
SHP-100202,17/03/2026,6,6am - 9am,Tuesday,LANE-101,CUST-006,SRV-02,5092,6,1
SHP-100203,29/03/2026,18,6pm - 9pm,Sunday,LANE-102,CUST-002,SRV-04,20824,1,1
SHP-100204,15/03/2026,14,12pm - 3pm,Sunday,LANE-106,CUST-003,SRV-03,16591,8,1
SHP-100205,22/03/2026,0,12am - 3am,Sunday,LANE-103,CUST-004,SRV-02,23269,18,1
SHP-100206,18/03/2026,6,6am - 9am,Wednesday,LANE-102,CUST-002,SRV-01,22166,0,1
SHP-100207,07/03/2026,15,3pm - 6pm,Saturday,LANE-101,CUST-003,SRV-02,8965,5,1
SHP-100208,13/03/2026,0,12am - 3am,Friday,LANE-103,CUST-001,SRV-03,6051,0,1
SHP-100209,19/03/2026,6,6am - 9am,Thursday,LANE-104,CUST-005,SRV-01,14879,0,1
SHP-100210,16/03/2026,12,12pm - 3pm,Monday,LANE-101,CUST-001,SRV-02,24574,3,1
SHP-100211,11/03/2026,15,3pm - 6pm,Wednesday,LANE-103,CUST-005,SRV-03,13700,26,1
SHP-100212,26/03/2026,14,12pm - 3pm,Thursday,LANE-103,CUST-004,SRV-04,3354,6,1
SHP-100213,05/03/2026,7,6am - 9am,Thursday,LANE-105,CUST-002,SRV-02,17176,15,1
SHP-100214,26/03/2026,16,3pm - 6pm,Thursday,LANE-106,CUST-006,SRV-01,14674,38,1
SHP-100215,02/03/2026,7,6am - 9am,Monday,LANE-102,CUST-002,SRV-03,12828,0,1
SHP-100216,01/03/2026,7,6am - 9am,Sunday,LANE-107,CUST-003,SRV-01,9770,19,1
SHP-100217,16/03/2026,16,3pm - 6pm,Monday,LANE-105,CUST-005,SRV-01,3667,1,1
SHP-100218,05/03/2026,14,12pm - 3pm,Thursday,LANE-101,CUST-005,SRV-01,867,0,1
SHP-100219,25/03/2026,17,3pm - 6pm,Wednesday,LANE-105,CUST-003,SRV-01,18068,12,1
SHP-100220,31/03/2026,15,3pm - 6pm,Tuesday,LANE-103,CUST-002,SRV-02,24195,14,1
SHP-100221,25/03/2026,13,12pm - 3pm,Wednesday,LANE-107,CUST-006,SRV-01,22421,15,1
SHP-100222,07/03/2026,5,3am - 6am,Saturday,LANE-102,CUST-002,SRV-02,4417,3,1
SHP-100223,30/03/2026,8,6am - 9am,Monday,LANE-104,CUST-003,SRV-02,24578,1,1
SHP-100224,09/03/2026,7,6am - 9am,Monday,LANE-107,CUST-006,SRV-01,23236,1,1
SHP-100225,04/03/2026,7,6am - 9am,Wednesday,LANE-102,CUST-006,SRV-01,19499,3,1
SHP-100226,19/03/2026,20,6pm - 9pm,Thursday,LANE-103,CUST-005,SRV-01,12204,6,1
SHP-100227,27/03/2026,8,6am - 9am,Friday,LANE-105,CUST-006,SRV-01,8636,27,1
SHP-100228,20/03/2026,18,6pm - 9pm,Friday,LANE-104,CUST-004,SRV-01,22593,41,1
SHP-100229,15/03/2026,14,12pm - 3pm,Sunday,LANE-106,CUST-003,SRV-02,21984,0,1
SHP-100230,07/03/2026,17,3pm - 6pm,Saturday,LANE-103,CUST-002,SRV-02,21067,0,1
SHP-100231,24/03/2026,11,9am - 12pm,Tuesday,LANE-102,CUST-004,SRV-03,12368,10,1
SHP-100232,18/03/2026,13,12pm - 3pm,Wednesday,LANE-103,CUST-004,SRV-02,10700,7,1
SHP-100233,05/03/2026,10,9am - 12pm,Thursday,LANE-102,CUST-005,SRV-02,20819,8,1
SHP-100234,21/03/2026,6,6am - 9am,Saturday,LANE-101,CUST-006,SRV-01,19766,45,1
SHP-100235,29/03/2026,16,3pm - 6pm,Sunday,LANE-104,CUST-003,SRV-01,20358,15,1
SHP-100236,25/03/2026,7,6am - 9am,Wednesday,LANE-101,CUST-004,SRV-03,9348,1,1
SHP-100237,29/03/2026,2,12am - 3am,Sunday,LANE-101,CUST-001,SRV-02,3695,50,1
SHP-100238,29/03/2026,14,12pm - 3pm,Sunday,LANE-101,CUST-004,SRV-01,1400,8,1
SHP-100239,31/03/2026,6,6am - 9am,Tuesday,LANE-104,CUST-004,SRV-02,23664,10,1
SHP-100240,13/03/2026,18,6pm - 9pm,Friday,LANE-103,CUST-004,SRV-01,22350,46,1
SHP-100241,03/03/2026,19,6pm - 9pm,Tuesday,LANE-103,CUST-003,SRV-01,23319,1,1
SHP-100242,28/03/2026,18,6pm - 9pm,Saturday,LANE-102,CUST-005,SRV-01,5587,1,1
SHP-100243,06/03/2026,8,6am - 9am,Friday,LANE-102,CUST-005,SRV-01,19400,2,1
SHP-100244,31/03/2026,1,12am - 3am,Tuesday,LANE-102,CUST-001,SRV-01,995,2,1
SHP-100245,26/03/2026,18,6pm - 9pm,Thursday,LANE-101,CUST-006,SRV-03,6227,8,1
SHP-100246,12/03/2026,9,9am - 12pm,Thursday,LANE-104,CUST-001,SRV-01,14878,6,1
SHP-100247,21/03/2026,19,6pm - 9pm,Saturday,LANE-101,CUST-004,SRV-03,24292,12,1
SHP-100248,18/03/2026,19,6pm - 9pm,Wednesday,LANE-103,CUST-004,SRV-03,11866,7,1
SHP-100249,18/03/2026,17,3pm - 6pm,Wednesday,LANE-103,CUST-004,SRV-01,14137,13,1
SHP-100250,04/03/2026,7,6am - 9am,Wednesday,LANE-102,CUST-001,SRV-02,18382,3,1
SHP-100251,28/03/2026,8,6am - 9am,Saturday,LANE-101,CUST-005,SRV-01,20373,15,1
SHP-100252,20/03/2026,17,3pm - 6pm,Friday,LANE-105,CUST-001,SRV-01,15707,40,1
SHP-100253,31/03/2026,7,6am - 9am,Tuesday,LANE-104,CUST-006,SRV-02,7163,0,1
SHP-100254,23/03/2026,6,6am - 9am,Monday,LANE-106,CUST-005,SRV-03,17415,6,1
SHP-100255,14/03/2026,12,12pm - 3pm,Saturday,LANE-101,CUST-001,SRV-04,1453,15,1
